My body cast a shadow over the grass.	The sun was rising.	The grass was cut.	cause	0	0	
The garden looked well-groomed.	The grass was cut.	The sun was rising.	cause	0	1	
The woman tolerated her friend's difficult behavior.	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	2	
The woman did not tolerate her friend's difficult behavior anymore.	The woman felt that her friend took advantage of her kindness.	The woman knew her friend was going through a hard time.	cause	0	3	
The women met for coffee.	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	4	
The women were surprised.	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	0	5	
The runner wore shorts.	She planned to run along the beach.	The forecast predicted high temperatures.	cause	1	6	
The runner stretched.	She planned to run along the beach.	The forecast predicted high temperatures.	cause	0	7	
The guests of the party hid behind the couch.	It was a birthday party.	It was a surprise party.	cause	1	8	
The guests of the party brought candles.	It was a birthday party.	It was a surprise party.	cause	0	9	
The politician lost the election.	No one voted for him.	He ran negative campaign ads.	cause	0	10	
The politician won the election.	No one voted for him.	He ran negative campaign ads.	cause	1	11	
The stain came out of the shirt.	I patched the shirt.	I bleached the shirt.	cause	1	12	
The shirt did not have a hole anymore.	I patched the shirt.	I bleached the shirt.	cause	0	13	
The man got a discount on his groceries.	He greeted the cashier.	He used a coupon.	cause	1	14	
The man looked friendly.	He used a coupon.	He greeted the cashier.	cause	1	15	
The physician misdiagnosed the patient.	The patient disclosed confidential information to the physician.	The patient filed a malpractice lawsuit against the physician.	effect	1	16	
The patient was a close friend of the physician.	The patient disclosed confidential information to the physician.	The patient filed a malpractice lawsuit against the physician.	effect	0	17	
The customer filed a complaint with the store manager.	The sales associate acted rude to the customer.	The sales associate undercharged the customer.	cause	0	18	
The sales associate sent another invoice to the customer.	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	0	19	
The woman repaired her faucet.	The faucet was leaky.	The faucet was turned off.	cause	0	20	
The woman could not wash her hands.	The faucet was leaky.	The faucet was turned off.	cause	1	21	
The elderly woman suffered a stroke.	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	22	
The elderly woman made a phone call.	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	0	23	
The pond froze over for the winter.	People brought boats to the pond.	People skated on the pond.	effect	1	24	
The frozen pond thawed in the spring.	People brought boats to the pond.	People skated on the pond.	effect	0	25	
The offender violated parole.	She was sent back to jail.	She stole money from a church.	effect	0	26	
The offender was poor.	She was sent back to jail.	She stole money from a church.	effect	1	27	
I poured water on my sleeping friend.	My friend awoke.	My friend snored.	effect	0	28	
I made my friend very tired.	My friend awoke.	My friend snored.	effect	1	29	
The girl gasped.	Her friend stuck an ice cube down her back.	Her friend gave her a pat on the back.	cause	0	30	
The girl smiled.	Her friend stuck an ice cube down her back.	Her friend gave her a pat on the back.	cause	1	31	
The shirt shrunk.	I put it in the dryer.	I poured bleach on it.	cause	0	32	
The shirt became clean.	I poured bleach on it.	I put it in the dryer.	cause	0	33	
It got dark outside.	Snowflakes began to fall from the sky.	The moon became visible in the sky.	effect	1	34	
It got cold outside.	Snowflakes began to fall from the sky.	The moon became visible in the sky.	effect	0	35	
I hung up the phone.	The caller said goodbye to me.	The caller identified himself to me.	cause	0	36	
I recognized the caller.	The caller identified himself to me.	The caller said goodbye to me.	cause	0	37	
The woman's ring slipped off in the shower.	The woman polished the ring.	The ring went down the drain.	effect	1	38	
The woman's ring got dirty.	The ring went down the drain.	The woman polished the ring.	effect	1	39	
The girl received a trophy.	She won a spelling bee.	She made a new friend.	cause	0	40	
The girl was not lonely anymore.	She made a new friend.	She won a spelling bee.	cause	0	41	
The woman's date wanted to look like a gentleman.	He opened the door for her.	He asked her if she liked sushi.	effect	0	42	
The woman's date wanted to have Japanese cuisine.	He asked her if she liked sushi.	He opened the door for her.	effect	0	43	
The farmland needed irrigation.	A flood occurred.	A canal was constructed.	effect	1	44	
The farmland got heavy rain.	A canal was constructed.	A flood occurred.	effect	1	45	
The host cancelled the party.	She worried she would catch the flu.	She was certain she had the flu.	cause	1	46	
The woman got vaccinated.	She was certain she had the flu.	She worried she would catch the flu.	cause	1	47	
The woman gave the man her phone number.	She was attracted to him.	She was repulsed by him.	cause	0	48	
The woman ignored the man.	She was attracted to him.	She was repulsed by him.	cause	1	49	
The skydiver glided safely to the ground.	She opened her parachute.	She jumped out of the plane.	cause	0	50	
The skydiver started to fall down.	She opened her parachute.	She jumped out of the plane.	cause	1	51	
The toddler became cranky.	Her mother fixed her hair into pigtails.	Her mother put her down for a nap.	effect	1	52	
The toddler joined a baby pageant.	Her mother fixed her hair into pigtails.	Her mother put her down for a nap.	effect	0	53	
The child became immune to the disease.	He received the vaccine for the disease.	He avoided exposure to the disease.	cause	0	54	
The child was not vaccinated but did not get the disease.	He received the vaccine for the disease.	He avoided exposure to the disease.	cause	1	55	
The grape juice fermented.	The juice evaporated.	The juice turned to wine.	effect	1	56	
The grape juice was boiled.	The juice evaporated.	The juice turned to wine.	effect	0	57	
The friends' debate dragged on interminably.	The friends were splitting hairs.	The friends saw eye to eye.	cause	0	58	
The friends did not have a debate.	The friends saw eye to eye.	The friends were splitting hairs.	cause	0	59	
The woman hummed to herself.	She was nervous.	She was in a good mood.	cause	1	60	
The woman trembled.	She was in a good mood.	She was nervous.	cause	1	61	
The man hated his new haircut.	He grew a beard.	He wore a hat.	effect	1	62	
The man hated the shape of his chin.	He wore a hat.	He grew a beard.	effect	1	63	
The police aimed their weapons at the fugitive.	The fugitive fell to the ground.	The fugitive dropped his gun.	effect	1	64	
