My body cast a shadow over the grass.	The sun was rising.	The grass was cut.	cause	0	0
The woman tolerated her friend's difficult behavior.	The woman knew her friend was going through a hard time.	The woman felt that her friend took advantage of her kindness.	cause	0	1
The women met for coffee.	The cafe reopened in a new location.	They wanted to catch up with each other.	cause	1	2
The runner wore shorts.	The forecast predicted high temperatures.	She planned to run along the beach.	cause	0	3
The guests of the party hid behind the couch.	It was a surprise party.	It was a birthday party.	cause	0	4
The politician lost the election.	He ran negative campaign ads.	No one voted for him.	cause	1	5
The stain came out of the shirt.	I patched the shirt.	I bleached the shirt.	cause	1	6
The man got a discount on his groceries.	He greeted the cashier.	He used a coupon.	cause	1	7
The physician misdiagnosed the patient.	The patient filed a malpractice lawsuit against the physician.	The patient disclosed confidential information to the physician.	effect	0	8
The customer filed a complaint with the store manager.	The sales associate undercharged the customer.	The sales associate acted rude to the customer.	cause	1	9
The woman repaired her faucet.	The faucet was leaky.	The faucet was turned off.	cause	0	10
The elderly woman suffered a stroke.	The woman's daughter came over to clean her house.	The woman's daughter moved in to take care of her.	effect	1	11
The pond froze over for the winter.	People skated on the pond.	People brought boats to the pond.	effect	0	12
The offender violated parole.	She was sent back to jail.	She stole money from a church.	effect	0	13
I poured water on my sleeping friend.	My friend awoke.	My friend snored.	effect	0	14
The girl gasped.	Her friend stuck an ice cube down her back.	Her friend gave her a pat on the back.	cause	0	15
The shirt shrunk.	I poured bleach on it.	I put it in the dryer.	cause	1	16
It got dark outside.	Snowflakes began to fall from the sky.	The moon became visible in the sky.	effect	1	17
I hung up the phone.	The caller said goodbye to me.	The caller identified himself to me.	cause	0	18
The woman's ring slipped off in the shower.	The woman polished the ring.	The ring went down the drain.	effect	1	19
The girl received a trophy.	She won a spelling bee.	She made a new friend.	cause	0	20
The woman's date wanted to look like a gentleman.	He opened the door for her.	He asked her if she liked sushi.	effect	0	21
The farmland needed irrigation.	A canal was constructed.	A flood occurred.	effect	0	22
The host cancelled the party.	She was certain she had the flu.	She worried she would catch the flu.	cause	0	23
The woman gave the man her phone number.	She was attracted to him.	She was repulsed by him.	cause	0	24
The skydiver glided safely to the ground.	She opened her parachute.	She jumped out of the plane.	cause	0	25
The toddler became cranky.	Her mother put her down for a nap.	Her mother fixed her hair into pigtails.	effect	0	26
The child became immune to the disease.	He avoided exposure to the disease.	He received the vaccine for the disease.	cause	1	27
The grape juice fermented.	The juice turned to wine.	The juice evaporated.	effect	0	28
The friends' debate dragged on interminably.	The friends saw eye to eye.	The friends were splitting hairs.	cause	1	29
