No Weapons of Mass Destruction Found in republic of iraq Yet.	Weapons of Mass Destruction discover in Iraq.	not_entailment	0
vitamin a rate of sorrow, after Pope John Paul II died, became a rate of celebration, as Roman Catholic faithful amass in downtown Chicago to mark the installation of new Pope Benedict XVI.	Pope ruth fulton XVI is the new leader of the Roman Catholic Church.	entailment	1
A place of sorrow, after alexander pope whoremonger Paul II died, turn a place of celebration, as Roman Catholic faithful gathered in downtown Chicago to mark the installation of new alexander pope Benedict XVI.	Pope Benedict sixteen is the new leader of the Roman Catholic Church.	entailment	1
Herceptin was already approved to goody the sickest chest cancer patients, and the company said, Monday, it will discuss with federal regulators the opening of prescribing the drug for more chest cancer patients.	Herceptin can be expend to treat breast cancer.	entailment	2
Judie Vivian, chief executive at ProMedica, a medical exam service company that helps sustain the 2-year-old Vietnam Heart bring in Ho qi Minh City (formerly Saigon), said that so far about 1,500 children have received treatment.	The previous name of holmium Chi Minh City was Saigon.	entailment	3
Judie Vivian, chief executive at ProMedica, a medical service company that helps sustain the 2-year-old Vietnam Heart Institute in Ho Chi Minh city (formerly Saigon), said that so far about 1,500 shaver have get treatment.	The previous name of Ho Chi Minh urban center was Saigon.	entailment	3
A humanity is due in court belated charged with the murder 26 years agone of a teenager whose case was the first to be featured on BBC One's Crimewatch. colette Aram, 16, was walking to her boyfriend's house in Keyworth, Nottinghamshire, on thirty October 1983 when she disappeared. Her body was belated base in a field close to her home. Paul jimmy stewart Hutchinson, 50, has been charged with murder and is due before Nottingham magistrates later.	Paul Stewart anne hutchinson is accused of having stabbed a girl.	not_entailment	4
axerophthol mankind is due in court later charged with the murder twenty six twelvemonth ago of a teenager whose case was the first to be featured on BBC One's Crimewatch. Colette Aram, 16, was walking to her boyfriend's household in Keyworth, Nottinghamshire, on 30 october 1983 when she disappeared. Her body was later found in a field close to her home. Paul Stewart Hutchinson, 50, has been charged with murder and is due before Nottingham magistrate later.	saint paul Stewart Hutchinson is accused of having stabbed a girl.	not_entailment	4
about iv million children who have at least unmatched bring up who accede the U.S. illegally were born in the United department of state and are U.S. citizens as a result, fit in to the study conducted by the Pew Hispanic Center. That's about three quarters of the estimated 5.5 million children of illegal immigrants inside the United States, fit in to the study. About 1.8 million children of undocumented immigrants live in poverty, the study found.	deuce ace quarters of U.S. illegal immigrants have children.	not_entailment	6
Like the link States, U.N. officials are also dismayed that Aristide killed a league called by choice Minister Robert Malval in Port-au-Prince in hopes of bringing all the feuding parties together.	Aristide had Prime Minister Robert Malval off in Port-au-Prince.	not_entailment	7
Like the United States, U.N. official are also dismayed that Aristide bolt down a conference called by Prime Minister Robert Malval in Port-au-Prince in hopes of bringing all the feud parties together.	Aristide had Prime Minister Robert Malval murdered in Port-au-Prince.	not_entailment	7
capital -- A newly declassified narrative of the bush administration's advice to the CIA on harsh interrogations shows that the humble group of Justice Department lawyers who wrote memo authorizing controversial interrogation proficiency were operating not on their own but with direction from top administration officials, including then-Vice chairman dick Cheney and national security adviser Condoleezza Rice. At the same time, the narrative suggests that then-Defense Secretary Donald H. Rumsfeld and then-Secretary of united states department of state Colin Powell were largely left out of the decision-making process.	Dick Cheney was the frailty President of Bush.	entailment	8
Only a week after it had no comment on up the storage capacity of its Hotmail e-mail service, Microsoft early on Thursday announced it was boosting the allowance to 250MB to follow standardized motility by rivals such as Google, Yahoo, and Lycos.	Microsoft's Hotmail has raised its entrepot capacity to 250MB.	entailment	9
Brian Brohm, the Louisville quarterback, threw for 368 yards and five touchdowns as the Cardinals beat visiting or nation 63-27.	The quarterback threw for 413 yards and three touchdowns, and then ran to the goal zone two more times.	not_entailment	14
